Patterns,Category,Can we detect this using only code change (partial analysis is sufficient),Feasibility using Regex,# Note,inter-class,import,signature,field,body,signature,local variable,field,body,statement,type,annotation,java version,data flow/control flow/call graph/inheritance graph/no,name(class/method/field/variable),expression text(operator/keyword),constant,
RV: Code checks for specific values returned by compareTo (RV_CHECK_COMPARETO_FOR_SPECIFIC_RETURN_VALUE),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,,,,Y,,,,,,Y,,Y,
NP: Null pointer dereference (NP_ALWAYS_NULL),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,,,data flow,,,,
NP: close() invoked on a value that is always null (NP_CLOSING_NULL),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,,,data flow,,,,
NP: Store of null value into field annotated @Nonnull (NP_STORE_INTO_NONNULL_FIELD),Correctness (CORRECTNESS),No,No for multi-line,,,,,Y,Y,,,,,,,Y,,data flow,,,,
NP: Null pointer dereference in method on exception path (NP_ALWAYS_NULL_EXCEPTION),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,,,,"data flow, control flow",,,,
NP: Possible null pointer dereference (NP_NULL_ON_SOME_PATH),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,,,,"data flow, control flow",,,,
NP: Possible null pointer dereference in method on exception path (NP_NULL_ON_SOME_PATH_EXCEPTION),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,,,,"data flow, control flow",,,,
NP: Method call passes null for non-null parameter (NP_NULL_PARAM_DEREF),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,data flow,,,,
NP: Non-virtual method call passes null for non-null parameter (NP_NULL_PARAM_DEREF_NONVIRTUAL),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,data flow,,,,
NP: Method call passes null for non-null parameter (NP_NULL_PARAM_DEREF_ALL_TARGETS_DANGEROUS),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,data flow,,,,
NP: Method call passes null to a non-null parameter (NP_NONNULL_PARAM_VIOLATION),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,data flow,,,,
"NP: Method may return null, but is declared @Nonnull (NP_NONNULL_RETURN_VIOLATION)",Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,,Y,,data flow,,,,
NP: Null value is guaranteed to be dereferenced (NP_GUARANTEED_DEREF),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,,,data flow,,,,
NP: Value is null and guaranteed to be dereferenced on exception path (NP_GUARANTEED_DEREF_ON_EXCEPTION_PATH),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,,,data flow,,,,
DMI: Reversed method arguments (DMI_ARGUMENTS_WRONG_ORDER),Correctness (CORRECTNESS),Yes,Yes but no time,only case of constant,,,,,,,,,Y,,,,,data flow,Y,,Y,
RCN: Nullcheck of value previously dereferenced (RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,,,,,,,,
RC: Suspicious reference comparison (RC_REF_COMPARISON),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
VA: Primitive array passed to function expecting a variable number of object arguments (VA_PRIMITIVE_ARRAY_PASSED_TO_OBJECT_VARARG),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
EC: Using pointer equality to compare different types (EC_UNRELATED_TYPES_USING_POINTER_EQUALITY),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
EC: Call to equals() comparing different types (EC_UNRELATED_TYPES),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
EC: equals() used to compare array and nonarray (EC_ARRAY_AND_NONARRAY),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
EC: Call to equals(null) (EC_NULL_ARG),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,,,,,Y,,Y,
EC: Call to equals() comparing different interface types (EC_UNRELATED_INTERFACES),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
EC: Call to equals() comparing unrelated class and interface (EC_UNRELATED_CLASS_AND_INTERFACE),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
SA: Self assignment of local rather than assignment to field (SA_LOCAL_SELF_ASSIGNMENT_INSTEAD_OF_FIELD),Correctness (CORRECTNESS),No,No for multi-line,enhanced with multiline,,,,,,,Y,,,,,,,,,,,
INT: Bad comparison of int value with long constant (INT_BAD_COMPARISON_WITH_INT_VALUE),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
INT: Bad comparison of signed byte (INT_BAD_COMPARISON_WITH_SIGNED_BYTE),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
INT: Bad comparison of nonnegative value with negative constant or zero (INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,,,data flow,,,,
BIT: Bitwise add of signed byte value (BIT_ADD_OF_SIGNED_BYTE),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
BIT: Bitwise OR of signed byte value (BIT_IOR_OF_SIGNED_BYTE),Correctness (CORRECTNESS),No,Yes and implemented,,,,,,,,,,,Y,Y,,,,,,,
BIT: Check for sign of bitwise operation involving negative number (BIT_SIGNED_CHECK_HIGH_BIT),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,Y,
BIT: Incompatible bit masks (BIT_AND),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,Y,
BIT: Check to see if ((…) & 0) == 0 (BIT_AND_ZZ),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,Y,
BIT: Incompatible bit masks (BIT_IOR),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,Y,
SA: Self assignment of field (SA_FIELD_SELF_ASSIGNMENT),Correctness (CORRECTNESS),No,Yes and implemented,enhanced with multiline,,,,,,,,Y,,,,,,,,,,
"SA: Nonsensical self computation involving a field (e.g., x & x) (SA_FIELD_SELF_COMPUTATION)",Correctness (CORRECTNESS),No,Yes and implemented,enhanced with multiline,,,,,,,,Y,,,,,,,,,,
"SA: Nonsensical self computation involving a variable (e.g., x & x) (SA_LOCAL_SELF_COMPUTATION)",Correctness (CORRECTNESS),No,Yes and implemented,enhanced with multiline,,,,,,,Y,,,,,,,,Y,Y,,
SA: Self comparison of field with itself (SA_FIELD_SELF_COMPARISON),Correctness (CORRECTNESS),No,Yes and implemented,enhanced with multiline,,,,,,,,Y,,,,,,,,,,
SA: Self comparison of value with itself (SA_LOCAL_SELF_COMPARISON),Correctness (CORRECTNESS),No,Yes and implemented,enhanced with multiline,,,,,,,Y,,,,,,,,Y,Y,,
UMAC: Uncallable method defined in anonymous class (UMAC_UNCALLABLE_METHOD_OF_ANONYMOUS_CLASS),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,,,,,,,,
IJU: JUnit assertion in run method will not be noticed by JUnit (IJU_ASSERT_METHOD_INVOKED_FROM_RUN_METHOD),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,Y,,,,,"inheritance graph, call graph",,,,
IJU: TestCase declares a bad suite method (IJU_BAD_SUITE_METHOD),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,,,,,,inheritance graph,Y,,,
IJU: TestCase defines setUp that doesn’t call super.setUp() (IJU_SETUP_NO_SUPER),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,Y,,,Y,,,,,"inheritance graph, call graph",,,,
IJU: TestCase defines tearDown that doesn’t call super.tearDown() (IJU_TEARDOWN_NO_SUPER),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,Y,,,Y,,,,,"inheritance graph, call graph",,,,
IJU: TestCase implements a non-static suite method (IJU_SUITE_NOT_STATIC),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,,,,,,inheritance graph,,,,
IJU: TestCase has no tests (IJU_NO_TESTS),Correctness (CORRECTNESS),No,No for multi-line,,,,,,Y,,,,,,,,,inheritance graph,,,,
BOA: Class overrides a method implemented in super class Adapter wrongly (BOA_BADLY_OVERRIDDEN_ADAPTER),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
SQL: Method attempts to access a result set field with index 0 (SQL_BAD_RESULTSET_ACCESS),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
SQL: Method attempts to access a prepared statement parameter with index 0 (SQL_BAD_PREPARED_STATEMENT_ACCESS),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
SIO: Unnecessary type check done using instanceof operator (SIO_SUPERFLUOUS_INSTANCEOF),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
BAC: Bad Applet Constructor relies on uninitialized AppletStub (BAC_BAD_APPLET_CONSTRUCTOR),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,,,,call graph,,,,
EC: equals(…) used to compare incompatible arrays (EC_INCOMPATIBLE_ARRAY_COMPARE),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
"EC: Invocation of equals() on an array, which is equivalent to == (EC_BAD_ARRAY_COMPARE)",Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
"STI: Unneeded use of currentThread() call, to call interrupted() (STI_INTERRUPTED_ON_CURRENTTHREAD)",Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,,,,Y,,Y,,,,Y,,,
STI: Static Thread.interrupted() method invoked on thread instance (STI_INTERRUPTED_ON_UNKNOWNTHREAD),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,,,,,Y,Y,,,,Y,,,
DLS: Useless increment in return statement (DLS_DEAD_LOCAL_INCREMENT_IN_RETURN),Correctness (CORRECTNESS),Yes,Yes and implemented,enhanced with multiline,,,,,,,Y,,,,Y,,,,Y,,,
DLS: Dead store of class literal (DLS_DEAD_STORE_OF_CLASS_LITERAL),Correctness (CORRECTNESS),No,No for multi-line,,,,,,Y,,,,,,,,,,,,,
IP: A parameter is dead upon entry to a method but overwritten (IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
MF: Method defines a variable that obscures a field (MF_METHOD_MASKS_FIELD),Correctness (CORRECTNESS),No,No for multi-line,only for field in current class,Y,,,,,,,,,,,,,,,,,
MF: Class defines field that masks a superclass field (MF_CLASS_MASKS_FIELD),Correctness (CORRECTNESS),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
FE: Doomed test for equality to NaN (FE_TEST_IF_EQUAL_TO_NOT_A_NUMBER),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,Y,,
ICAST: int value converted to long and used as absolute time (ICAST_INT_2_LONG_AS_INSTANT),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,Y,,,,,,,
ICAST: Integral value cast to double and then passed to Math.ceil (ICAST_INT_CAST_TO_DOUBLE_PASSED_TO_CEIL),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
ICAST: int value cast to float and then passed to Math.round (ICAST_INT_CAST_TO_FLOAT_PASSED_TO_ROUND),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
NP: A known null value is checked to see if it is an instance of a type (NP_NULL_INSTANCEOF),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,,,,data flow,,,,
DMI: Double.longBitsToDouble invoked on an int (DMI_LONG_BITS_TO_DOUBLE_INVOKED_ON_INT),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
BC: Impossible cast (BC_IMPOSSIBLE_CAST),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
BC: Impossible downcast (BC_IMPOSSIBLE_DOWNCAST),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
BC: Impossible downcast of toArray() result (BC_IMPOSSIBLE_DOWNCAST_OF_TOARRAY),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,Y,,Y,,,inheritance graph,Y,,,
BC: instanceof will always return false (BC_IMPOSSIBLE_INSTANCEOF),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
RE: “.” or “|” used for regular expression (RE_POSSIBLE_UNINTENDED_PATTERN),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,,Y,
RE: Invalid syntax for regular expression (RE_BAD_SYNTAX_FOR_REGULAR_EXPRESSION),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
RE: File.separator used for regular expression (RE_CANT_USE_FILE_SEPARATOR_AS_REGULAR_EXPRESSION),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,,,
DLS: Overwritten increment (DLS_OVERWRITTEN_INCREMENT),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,Y,,
BSHIFT: 32 bit int shifted by an amount not in the range -31..31 (ICAST_BAD_SHIFT_AMOUNT),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
BSHIFT: Possible bad parsing of shift operation (BSHIFT_WRONG_ADD_PRIORITY),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,Y,,
IM: Integer multiply of result of integer remainder (IM_MULTIPLYING_RESULT_OF_IREM),Correctness (CORRECTNESS),Yes,Yes but no time,No because SP didn't report it,,,,,,,,,Y,,Y,,,,,Y,,
DMI: Invocation of hashCode on an array (DMI_INVOKING_HASHCODE_ON_ARRAY),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
USELESS_STRING: Invocation of toString on an array (DMI_INVOKING_TOSTRING_ON_ARRAY),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
USELESS_STRING: Invocation of toString on an unnamed array (DMI_INVOKING_TOSTRING_ON_ANONYMOUS_ARRAY),Correctness (CORRECTNESS),Yes,Yes but no time,,,,,,,,,,,Y,Y,,,,Y,Y,,
DMI: Bad constant value for month (DMI_BAD_MONTH),Correctness (CORRECTNESS),Yes,Yes and implemented,enhanced with multiline,,,,,,,,,,Y,Y,,,,Y,Y,,
DMI: hasNext method invokes next (DMI_CALLING_NEXT_FROM_HASNEXT),Correctness (CORRECTNESS),No,No for multi-line,,,,,,,Y,,,Y,,,,,"inheritance graph, call graph",,,,
QBA: Method assigns boolean literal in boolean expression (QBA_QUESTIONABLE_BOOLEAN_ASSIGNMENT),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,control flow,,Y,Y,
GC: No relationship between generic parameter and method argument (GC_UNRELATED_TYPES),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
DMI: Vacuous call to collections (DMI_VACUOUS_SELF_COLLECTION_CALL),Correctness (CORRECTNESS),Yes,Yes and implemented,enhanced with multiline,,,,,,,,,,Y,Y,,,,Y,,,
DMI: D’oh! A nonsensical method invocation (DMI_DOH),Correctness (CORRECTNESS),Yes,No for multi-line,,,,,,,,,,,Y,Y,,,,Y,,,
DMI: Collections should not contain themselves (DMI_COLLECTIONS_SHOULD_NOT_CONTAIN_THEMSELVES),Correctness (CORRECTNESS),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,,,
TQ: Value without a type qualifier used where a value is required to have that qualifier (TQ_UNKNOWN_VALUE_USED_WHERE_ALWAYS_STRICTLY_REQUIRED),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,,,,,
TQ: Comparing values with incompatible type qualifiers (TQ_COMPARING_VALUES_WITH_INCOMPATIBLE_TYPE_QUALIFIERS),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,,,,,
TQ: Value annotated as carrying a type qualifier used where a value that must not carry that qualifier is required (TQ_ALWAYS_VALUE_USED_WHERE_NEVER_REQUIRED),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,,,,,
TQ: Value annotated as never carrying a type qualifier used where value carrying that qualifier is required (TQ_NEVER_VALUE_USED_WHERE_ALWAYS_REQUIRED),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,,,,,
TQ: Value that might not carry a type qualifier is always used in a way requires that type qualifier (TQ_MAYBE_SOURCE_VALUE_REACHES_ALWAYS_SINK),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,,,,,
TQ: Value that might carry a type qualifier is always used in a way prohibits it from having that type qualifier (TQ_MAYBE_SOURCE_VALUE_REACHES_NEVER_SINK),Correctness (CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,,Y,,,,,,
FB: Unexpected/undesired warning from SpotBugs (FB_UNEXPECTED_WARNING),Correctness (CORRECTNESS),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
FB: Missing expected or desired warning from SpotBugs (FB_MISSING_EXPECTED_WARNING),Correctness (CORRECTNESS),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
SKIPPED: Class too big for analysis (SKIPPED_CLASS_TOO_BIG),Experimental (EXPERIMENTAL),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
TEST: Unknown bug pattern (UNKNOWN),Experimental (EXPERIMENTAL),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
TEST: Testing (TESTING),Experimental (EXPERIMENTAL),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
TEST: Testing 1 (TESTING1),Experimental (EXPERIMENTAL),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
TEST: Testing 2 (TESTING2),Experimental (EXPERIMENTAL),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
TEST: Testing 3 (TESTING3),Experimental (EXPERIMENTAL),No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only for spotbugs
OBL: Method may fail to clean up stream or resource (OBL_UNSATISFIED_OBLIGATION),Experimental (EXPERIMENTAL),No,No for multi-line,,,,,,,,Y,,Y,,Y,,,,,,,
OBL: Method may fail to clean up stream or resource on checked exception (OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE),Experimental (EXPERIMENTAL),No,No for multi-line,,,,,,,,Y,,Y,,Y,,,control flow,,,,
LG: Potential lost logger changes due to weak reference in OpenJDK (LG_LOST_LOGGER_DUE_TO_WEAK_REFERENCE),Experimental (EXPERIMENTAL),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
Dm: Consider using Locale parameterized version of invoked method (DM_CONVERT_CASE),Internationalization (I18N),Yes,No for multi-line,,,,,,,,,,,Y,Y,,,,Y,,,
Dm: Reliance on default encoding (DM_DEFAULT_ENCODING),Internationalization (I18N),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
DP: Method invoked that should be only be invoked inside a doPrivileged block (DP_DO_INSIDE_DO_PRIVILEGED),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,only case without any inheritance relationship,,,,,,Y,,,Y,,,,,inheritance graph,,,,
DP: Classloaders should only be created inside doPrivileged block (DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,only case without any inheritance relationship,,,,,,Y,,,Y,,,,,inheritance graph,,,,
"FI: Finalizer should be protected, not public (FI_PUBLIC_SHOULD_BE_PROTECTED)",Malicious code vulnerability (MALICIOUS_CODE),Yes,Yes and implemented,,,,,,,Y,,,,,,,,,Y,Y,,
MS: Public static method may expose internal representation by returning array (MS_EXPOSE_REP),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,,,Y,,Y,Y,,,,,,,,,
EI: May expose internal representation by returning reference to mutable object (EI_EXPOSE_REP),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,,,Y,,Y,Y,,,,,,,,,
EI2: May expose internal representation by incorporating reference to mutable object (EI_EXPOSE_REP2),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,,,Y,,Y,Y,,Y,,,,,,,
MS: May expose internal static state by storing a mutable object into a static field (EI_EXPOSE_STATIC_REP2),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,,,Y,,Y,Y,,Y,,,,,,,
MS: Field should be moved out of an interface and made package protected (MS_OOI_PKGPROTECT),Malicious code vulnerability (MALICIOUS_CODE),No,No for regex limitation,,Y,,,,,,,,,,Y,,,,,,,
MS: Field should be both final and package protected (MS_FINAL_PKGPROTECT),Malicious code vulnerability (MALICIOUS_CODE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
MS: Field isn’t final but should be (MS_SHOULD_BE_FINAL),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,Y,,,,,,,,,,,,,,
MS: Field isn’t final but should be refactored to be so (MS_SHOULD_BE_REFACTORED_TO_BE_FINAL),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
MS: Field should be package protected (MS_PKGPROTECT),Malicious code vulnerability (MALICIOUS_CODE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
MS: Field is a mutable Hashtable (MS_MUTABLE_HASHTABLE),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,Y,,,,,,,Y,,,,,,,
MS: Field is a mutable array (MS_MUTABLE_ARRAY),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,Y,,,,,,,Y,,,,,,,
MS: Field is a mutable collection (MS_MUTABLE_COLLECTION),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,Y,,,,,,,Y,,,,,,,
MS: Field is a mutable collection which should be package protected (MS_MUTABLE_COLLECTION_PKGPROTECT),Malicious code vulnerability (MALICIOUS_CODE),No,No for regex limitation,,Y,,,,,,,,,,Y,,,,,,,
MS: Field isn’t final and can’t be protected from malicious code (MS_CANNOT_BE_FINAL),Malicious code vulnerability (MALICIOUS_CODE),No,No for multi-line,,,,,Y,,,,,,,Y,,,,,,,
AT: Sequence of calls to concurrent abstraction may not be atomic (AT_OPERATION_SEQUENCE_ON_CONCURRENT_ABSTRACTION),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
STCAL: Static Calendar field (STCAL_STATIC_CALENDAR_INSTANCE),Multithreaded correctness (MT_CORRECTNESS),Yes,Yes and implemented,,,,,Y,,,,,,,Y,,,,Y,Y,,
STCAL: Static DateFormat (STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE),Multithreaded correctness (MT_CORRECTNESS),Yes,Yes and implemented,,,,,Y,,,,,,,Y,,,,Y,Y,,
STCAL: Call to static Calendar (STCAL_INVOKE_ON_STATIC_CALENDAR_INSTANCE),Multithreaded correctness (MT_CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
STCAL: Call to static DateFormat (STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE),Multithreaded correctness (MT_CORRECTNESS),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
NP: Synchronize and null check on the same field. (NP_SYNC_AND_NULL_CHECK_FIELD),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,Y,Y,,,,,control flow,,,,
VO: A volatile reference to an array doesn’t treat the array elements as volatile (VO_VOLATILE_REFERENCE_TO_ARRAY),Multithreaded correctness (MT_CORRECTNESS),Yes,Yes but no time,,,,,Y,,,,,,,Y,,,,,Y,,
VO: An increment to a volatile field isn’t atomic (VO_VOLATILE_INCREMENT),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,Y,,,,,,,,Y,,
Dm: Monitor wait() called on Condition (DM_MONITOR_WAIT_ON_CONDITION),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
Dm: A thread was created using the default empty run method (DM_USELESS_THREAD),Multithreaded correctness (MT_CORRECTNESS),Yes,No for multi-line,,,,,,,,,,,Y,Y,,,,Y,Y,,
DC: Possible double check of field (DC_DOUBLECHECK),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,Y,Y,,,,,control flow,,,,
DC: Possible exposure of partially initialized object (DC_PARTIALLY_CONSTRUCTED),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,Y,Y,,,,,control flow,,,,
DL: Synchronization on interned String (DL_SYNCHRONIZATION_ON_SHARED_CONSTANT),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
DL: Synchronization on Boolean (DL_SYNCHRONIZATION_ON_BOOLEAN),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
DL: Synchronization on boxed primitive (DL_SYNCHRONIZATION_ON_BOXED_PRIMITIVE),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
DL: Synchronization on boxed primitive values (DL_SYNCHRONIZATION_ON_UNSHARED_BOXED_PRIMITIVE),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
WL: Synchronization on getClass rather than class literal (WL_USING_GETCLASS_RATHER_THAN_CLASS_LITERAL),Multithreaded correctness (MT_CORRECTNESS),Yes,Yes but no time,,,,,,,,,,Y,,Y,,,,Y,Y,,
ESync: Empty synchronized block (ESync_EMPTY_SYNC),Multithreaded correctness (MT_CORRECTNESS),Yes,No for multi-line,,,,,,,,,,Y,,,,,,,Y,,
MSF: Mutable servlet field (MSF_MUTABLE_SERVLET_FIELD),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,Y,,Y,,,,,,,,,,inheritance graph,,,,
IS: Inconsistent synchronization (IS2_INCONSISTENT_SYNC),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
NN: Naked notify (NN_NAKED_NOTIFY),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
Ru: Invokes run on a thread (did you mean to start it instead?) (RU_INVOKE_RUN),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
SP: Method spins on field (SP_SPIN_ON_FIELD),Multithreaded correctness (MT_CORRECTNESS),No,No for regex limitation,,,,,,,,,Y,Y,,,,,control flow,,,,
